"Material","Energy_MeV","CrossSection_cm2_g","Attenuation_cm_1","EnergyAttenuation_cm_1"
"RibBone_J","0,003","0,056035879999399185","739,9276733398438","725,0113525390625"
"RibBone_J","0,004","0,07295338064432144","271,2851867675781","265,6273193359375"
"RibBone_J","0,005","0,08711313456296921","638,1102294921875","576,437744140625"
"RibBone_J","0,006","0,09893731772899628","253,15594482421875","233,87008666992188"
"RibBone_J","0,008","0,11707860976457596","111,4502944946289","104,27466583251953"
"RibBone_J","0,01","0,12980225682258606","54,7475700378418","51,44954299926758"
"RibBone_J","0,015","0,1472407728433609","22,85053062438965","21,305482864379883"
"RibBone_J","0,02","0,1559567153453827","7,924958229064941","7,142051696777344"
"RibBone_J","0,03","0,16437692940235138","3,4393768310546875","2,890078544616699"
"RibBone_J","0,04","0,16623590886592865","1,3420660495758057","0,9241534471511841"
"RibBone_J","0,05","0,16503292322158813","1,2663695812225342","0,854124903678894"
"RibBone_J","0,06","0,1624067723751068","0,6458256840705872","0,30381786823272705"
"RibBone_J","0,08","0,15576834976673126","0,44126492738723755","0,14250360429286957"
"RibBone_J","0,1","0,1490454226732254","0,35620933771133423","0,08794023096561432"
"RibBone_J","0,15","0,1348392814397812","0,2948662042617798","0,06503741443157196"
"RibBone_J","0,2","0,12408360838890076","0,25214052200317383","0,05772934854030609"
"RibBone_J","0,3","0,10880127549171448","0,22026608884334564","0,05810890346765518"
"RibBone_J","0,4","0,09808342903852463","0,19142398238182068","0,058889809995889664"
"RibBone_J","0,5","0,08991304039955139","0,18982134759426117","0,0589277446269989"
"RibBone_J","0,6","0,0833662897348404","0,162590891122818","0,058671984821558"
"RibBone_J","0,8","0,0733552798628807","0,14180445671081543","0,05719621852040291"
"RibBone_J","1","0,06593522429466248","0,14031986892223358","0,05708211287856102"
"Water","0,001","0,017693303525447845","4597,216796875","4582,81982421875"
"Water","0,0015","0,03037194535136223","1851,60986328125","1846,41943359375"
"Water","0,002","0,04278084635734558","637,0165405273438","634,889892578125"
"Water","0,003","0,06525548547506332","266,2972717285156","264,94482421875"
"Water","0,004","0,08420970290899277","88,41112518310547","87,51614379882812"
"Water","0,005","0,0999709963798523","81,87822723388672","81,00350952148438"
"Water","0,006","0,11306451261043549","28,216136932373047","27,599437713623047"
"Water","0,008","0,13302472233772278","11,461627960205078","10,991530418395996"
"Water","0,01","0,1469101756811142","5,334122180938721","4,948393821716309"
"Water","0,015","0,16566234827041626","2,21315336227417","1,9011590480804443"
"Water","0,02","0,17460305988788605","0,8318606615066528","0,5715818405151367"
"Water","0,03","0,182499498128891","0,4504826068878174","0,2238750159740448"
"Water","0,04","0,18347492814064026","0,27359911799430847","0,0738561600446701"
"Water","0,05","0,18139149248600006","0,26717838644981384","0,06884518265724182"
"Water","0,06","0,17796607315540314","0,2098758965730667","0,03394229710102081"
"Water","0,08","0,1699867844581604","0,18516363203525543","0,0264073945581913"
"Water","0,1","0,1622132956981659","0,17056232690811157","0,025445882230997086"
"Water","0,15","0,14618948101997375","0,15338626503944397","0,027300391346216202"
"Water","0,2","0,1342599093914032","0,13727103173732758","0,029597168788313866"
"Water","0,3","0,11749190092086792","0,12173207104206085","0,031510159373283386"
"Water","0,4","0,10581883043050766","0,10668440908193588","0,032713502645492554"
"Water","0,5","0,09695328027009964","0,10582784563302994","0,03276176005601883"
"Water","0,6","0,08986473083496094","0,09093280881643295","0,032839033752679825"
"Water","0,8","0,0790443941950798","0,07942165434360504","0,03209412470459938"
"Water","1","0,0710352435708046","0,07859893143177032","0,032035719603300095"
